Year,Month,Origin,"state","city",ArrdelayCount,MeanArrDelay,AirCount
1988,10,GCN,"AZ","Grand Canyon",74,12.054054,177
1988,10,GPT,"MS","Gulfport-Biloxi",67,15.283582,93
1988,10,GSO,"NC","Greensboro",1160,12.409482,1802
1988,10,HOU,"TX","Houston",2134,15.045923,4912
1988,10,ISO,"NC","Kinston",44,8.590909,119
1988,10,LAN,"MI","Lansing",212,8.179245,348
1988,10,LNK,"NE","Lincoln",203,15.576354,404
1988,10,MYR,"SC","Myrtle Beach",209,8.110047,314
1988,10,OMA,"NE","Omaha",804,12.706467,1512
1988,10,PBI,"FL","West Palm Beach",1094,12.699268,1991
1988,10,PFN,"FL","Panama City",22,7.727272,61
1988,10,PWM,"ME","Portland",443,17.060948,666
1988,10,SAT,"TX","San Antonio",1250,12.080000,2989
1988,10,SEA,"WA","Seattle",3133,17.468879,5926
1988,10,SGF,"MO","Springfield",153,14.052287,287
1988,10,SLC,"UT","Salt Lake City",2411,11.921609,5746
1988,10,SUX,"IA","Sioux City",104,10.346153,261
1988,10,TRI,"TN","Bristol",154,9.863636,271
1988,10,VPS,"FL","Valparaiso",92,9.663043,122
1988,10,WRG,"AK","Wrangell",26,17.038461,52
1988,11,ACY,"NJ","Atlantic City",26,10.423076,34
1988,4,PSG,"AK","Petersburg",34,12.852941,57
1988,4,RST,"MN","Rochester",109,18.082568,212
1988,4,SAN,"CA","San Diego",2618,17.396867,4852
1988,4,UCA,"NY","Utica",41,11.365853,80
1988,5,ANC,"AK","Anchorage",761,12.709592,1143
1988,5,BOI,"ID","Boise",225,18.564444,557
1988,5,BOS,"MA","Boston",4251,24.665019,8230
1988,5,BTM,"MT","Butte",27,5.185185,56
1988,5,DCA,"VA","Arlington",4238,24.080698,7304
1988,5,DRO,"CO","Durango",26,4.961538,60
1988,5,EWR,"NJ","Newark",4999,32.275455,10366
1988,5,FAI,"AK","Fairbanks",179,6.452513,314
1988,5,FLG,"AZ","Flagstaff",110,10.672727,223
1988,5,GJT,"CO","Grand Junction",79,16.772151,201
1988,5,GUM,"GU","Agana",83,28.397590,145
1989,1,STT,"VI","Charlotte Amalie",154,18.129870,287
1989,1,STX,"VI","Christiansted",131,23.977099,280
